JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
Machine Learning Engineer,New York City Metropolitan Area,NY,100000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,"New York, NY",NY,170000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,"Atlanta, GA",GA,95000.0,FULL_TIME,YEARLY,Data or business analyst
Machine Learning Engineer,"New York, NY",NY,225000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
It Business Analyst,"St Paul, MN",MN,109200.0,CONTRACT,HOURLY,Data or business analyst
Lead Data Engineer,"Wilmington, DE",DE,130000.0,CONTRACT,HOURLY,Data engineer
Ai Engineer,"Maine, IL",ME,176800.0,FULL_TIME,HOURLY,Data scientist or machine learning specialist
Business Analyst,Greater St. Louis,MO,98800.0,FULL_TIME,HOURLY,Data or business analyst
Senior Business Analyst,"Paramus, NJ",NJ,148200.0,CONTRACT,HOURLY,Data or business analyst
Information Technology Business Analyst,Charlotte Metro,NC,62.5,CONTRACT,YEARLY,Data or business analyst
Senior Financial Data Analyst,"Boulder, CO",CO,85000.0,FULL_TIME,YEARLY,Data or business analyst
Technical Business Analyst (Vp Level),"Manhattan, NY",NY,195000.0,FULL_TIME,YEARLY,Data or business analyst
Business Analyst,"Chicago, IL",IL,130000.0,CONTRACT,HOURLY,Data or business analyst
"Senior Practice Principal -Data, Analytics, Ai (Us Remote)","Texas, United States",TX,195700.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Senior/Lead Data Analyst, Finance & Strategy","San Francisco, CA",CA,161000.0,FULL_TIME,YEARLY,Data or business analyst
Credit Data Analyst 3 (Remote),"Centennial, CO",CO,129750.0,FULL_TIME,YEARLY,Data or business analyst
Credit Data Analyst 2 (Remote),United States,Nationwide,110750.0,FULL_TIME,YEARLY,Data or business analyst
Enterprise Payments Data Analytics Business Analyst,"Charlotte, NC",NC,151350.0,FULL_TIME,YEARLY,Data or business analyst
Enterprise Payments Data Analytics Business Analyst,"New York, NY",NY,151350.0,FULL_TIME,YEARLY,Data or business analyst
Tiktok Shop - Data Scientist - User Growth,"Seattle, WA",WA,240201.5,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Tiktok Shop - Data Scientist - User Growth,"San Jose, CA",CA,252844.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Machine Learning Engineer, E-Commerce","San Jose, CA",CA,250000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Ai Security Research Scientist Intern - 2024 Phd,"San Jose, CA",CA,60.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Machine Learning Engineer, E-Commerce","Seattle, WA",WA,237500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Machine Learning Engineer, Search - E-Commerce","Seattle, WA",WA,237500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Business Analyst - Strategy Enablement,"Rancho Cordova, CA",CA,122450.0,FULL_TIME,YEARLY,Data or business analyst
"Machine Learning Engineer, Recommendation - E-Commerce","San Jose, CA",CA,250000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Business Analyst - Strategy Enablement,"Camp Hill, PA",PA,122450.0,FULL_TIME,YEARLY,Data or business analyst
Senior Developer Relationship Manager – Physics Informed Machine Learning,"Santa Clara, CA",CA,259625.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Senior Data Scientist, Developer Experience","Boston, MA",MA,196000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Senior Data Scientist, Internal Operations","Boston, MA",MA,196000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Machine Learning Compiler Engineer,"Austin, TX",TX,185500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Machine Learning Compiler Engineer,"San Diego, CA",CA,185500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer 3: 24-00989,"Austin, TX",TX,112320.0,FULL_TIME,HOURLY,Data engineer
Data Analyst,Cincinnati Metropolitan Area,OH,125000.0,FULL_TIME,YEARLY,Data or business analyst
Nhl Data Scientist,United States,Nationwide,141000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,"Plainsboro, NJ",NJ,135000.0,FULL_TIME,YEARLY,Data or business analyst
Business Analyst,"Jeffersonville, IN",IN,112500.0,FULL_TIME,YEARLY,Data or business analyst
Machine Learning Operations And Data Engineer,"Berkeley, CA",CA,165000.0,FULL_TIME,YEARLY,Data engineer
"Senior Data Engineer, Governance",United States,Nationwide,170000.0,FULL_TIME,YEARLY,Data engineer
Data Analyst 1 - 10315,United States,Nationwide,57200.0,CONTRACT,HOURLY,Data or business analyst
"Vice President - Enterprise Architecture, Ai & Emerging Technologies",United States,Nationwide,210000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Analyst,"San Diego, CA",CA,69780.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,"Warren, MI",MI,62400.0,CONTRACT,HOURLY,Data or business analyst
Data Analyst,"Roswell, GA",GA,78000.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,"Atlanta, GA",GA,83200.0,FULL_TIME,HOURLY,Data or business analyst
Business Analyst,"Carson City, NV",NV,69680.0,CONTRACT,HOURLY,Data or business analyst
Senior Data Scientist,"San Luis Obispo County, CA",CA,150000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer,United States,Nationwide,6900400.0,PART_TIME,HOURLY,Data engineer
Utility Business Analyst,"Plymouth Meeting, PA",PA,156000.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst Quality Assurance,"Tampa, FL",FL,168480.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst 24-02965,"Wellesley, MA",MA,32.5,CONTRACT,YEARLY,Data or business analyst
Data Analyst (Onsite Role - Only W2),"Plainsboro, NJ",NJ,67600.0,CONTRACT,HOURLY,Data or business analyst
Data Engineer,"San Diego, CA",CA,114400.0,CONTRACT,HOURLY,Data engineer
Data Analyst,"Irvine, CA",CA,55120.0,CONTRACT,HOURLY,Data or business analyst
Sr. Data Engineer _ Nyc,New York City Metropolitan Area,NY,130000.0,FULL_TIME,YEARLY,Data engineer
Data Analyst,"Irvine, CA",CA,56680.0,CONTRACT,HOURLY,Data or business analyst
Financial And Data Analyst – Regulatory Compliance,"Kansas City, MO",MO,62250.0,FULL_TIME,YEARLY,Data or business analyst
Business Analyst (Pricing Strategy),"New York, NY",NY,135200.0,CONTRACT,HOURLY,Data or business analyst
Data Scientist,"Austin, Texas Metropolitan Area",TX,165000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,"Houston, TX",TX,260000.0,CONTRACT,HOURLY,Data or business analyst
Data Analyst,"Purchase, NY",NY,92525.0,FULL_TIME,YEARLY,Data or business analyst
Senior Business Analyst,United States,Nationwide,127500.0,FULL_TIME,YEARLY,Data or business analyst
Lead Data Analyst,"Fairfax County, VA",VA,156000.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst (Level Iii),"Chicago, IL",IL,93600.0,CONTRACT,HOURLY,Data or business analyst
Senior Data Engineer,"Norwalk, CT",CT,177500.0,FULL_TIME,YEARLY,Data engineer
"Data Analyst, Business Intelligence","Garden City, NY",NY,100000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,"San Jose, CA",CA,134160.0,CONTRACT,HOURLY,Data or business analyst
Data Analyst,"Herndon, VA",VA,72500.0,CONTRACT,YEARLY,Data or business analyst
Artificial Intelligence Engineer,United States,Nationwide,156000.0,CONTRACT,HOURLY,Data scientist or machine learning specialist
Data Engineer,"New Jersey, United States",NJ,125000.0,FULL_TIME,YEARLY,Data engineer
Data Analyst,"Washington, DC",WA,103500.0,CONTRACT,YEARLY,Data or business analyst
"Director, Product Management For File, Object, And Ai Storage","Spring, TX",TX,271000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Staff Data Engineer, Marketing Technology",United States,Nationwide,261100.0,FULL_TIME,YEARLY,Data engineer
Vp Of Marketing-Ai,San Francisco Bay Area,CA,225000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,"New York, NY",NY,72900.0,FULL_TIME,YEARLY,Data or business analyst
Ai Business Development Manager,"Morrisville, NC",NC,146000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst (Windchill Plm),United States,Nationwide,110000.0,FULL_TIME,YEARLY,Data or business analyst
